Source,Target,Type
1,2,Endnote
2,1,Beginning note
2,4,Endnote
2,6,Endnote
2,3,Endnote
3,2,Beginning note
3,4,Endnote
3,8,Endnote
3,16,Endnote
3,17,Endnote
4,1,Beginning note
4,3,Beginning note
4,3,Endnote
4,7,Endnote
5,3,Beginning note
5,7,Endnote
5,14,Endnote
5,37,Endnote
6,2,Beginning note
6,12,Endnote
6,26,Endnote
6,7,Endnote
7,2,Beginning note
7,3,Beginning note
7,4,Beginning note
7,5,Beginning note
7,6,Beginning note
7,37,Endnote
7,51,Endnote
8,3,Beginning note
8,12,Endnote
8,37,Endnote
8,13,Endnote
9,8,Beginning note
9,13,Endnote
9,42,Endnote
9,15,Endnote
9,41,Endnote
9,157,Endnote
9,80,Endnote
10,8,Beginning note
10,3,Beginning note
10,11,Endnote
10,31,Endnote
10,16,Endnote
10,33,Endnote
10,58,Endnote
10,63,Endnote
11,8,Beginning note
11,3,Beginning note
11,10,Beginning note
11,23,Endnote
11,51,Endnote
11,52,Endnote
11,56,Endnote
11,17,Endnote
11,22,Endnote
11,97,Endnote
11,34,Endnote
12,8,Beginning note
12,13,Endnote
12,14,Endnote
12,28,Endnote
12,31,Endnote
12,44,Endnote
13,8,Beginning note
13,12,Beginning note
13,14,Beginning note
13,7,Endnote
13,24,Endnote
13,25,Endnote
13,59,Endnote
13,60,Endnote
13,64,Endnote
13,71,Endnote
13,17,Endnote
13,23,Endnote
13,41,Endnote
13,42,Endnote
13,84,Endnote
13,97,Endnote
13,30,Endnote
13,41,Endnote
13,28,Endnote
14,8,Beginning note
14,12,Beginning note
14,53,Endnote
14,15,Endnote
14,23,Endnote
14,60,Endnote
14,61,Endnote
14,37,Endnote
14,41,Endnote
15,12,Beginning note
15,13,Beginning note
15,14,Beginning note
15,53,Endnote
15,23,Endnote
15,41,Endnote
15,59,Endnote
15,60,Endnote
15,97,Endnote
15,103,Endnote
15,32,Endnote
15,64,Endnote
15,69,Endnote
15,70,Endnote
15,72,Endnote
15,73,Endnote
16,3,Beginning note
16,11,Beginning note
16,34,Endnote
16,20,Endnote
17,11,Beginning note
17,34,Beginning note
17,16,Beginning note
17,13,Endnote
17,25,Endnote
17,42,Endnote
17,97,Endnote
18,157,Endnote
18,57,Endnote
18,86,Endnote
18,85,Endnote
18,84,Endnote
18,43,Endnote
18,83,Endnote
19,8,Beginning note
19,13,Beginning note
19,9,Beginning note
19,11,Beginning note
20,11,Beginning note
20,16,Beginning note
20,23,Endnote
20,34,Endnote
20,92,Endnote
21,3,Beginning note
21,5,Beginning note
21,10,Beginning note
21,96,Endnote
21,29,Endnote
21,95,Endnote
21,39,Endnote
21,82,Endnote
21,62,Endnote
22,11,Beginning note
22,12,Beginning note
22,14,Beginning note
22,97,Endnote
22,103,Endnote
23,11,Beginning note
23,17,Beginning note
23,13,Beginning note
23,15,Beginning note
23,11,Beginning note
23,17,Endnote
23,11,Endnote
23,49,Endnote
23,51,Endnote
23,50,Endnote
23,52,Endnote
23,55,Endnote
23,54,Endnote
24,59,Endnote
24,134,Endnote
24,171,Endnote
24,176,Endnote
24,66,Endnote
25,24,Beginning note
25,31,Endnote
25,7,Endnote
25,23,Endnote
25,103,Endnote
26,12,Beginning note
26,14,Beginning note
26,66,Endnote
26,35,Endnote
26,40,Endnote
26,41,Endnote
26,44,Endnote
26,57,Endnote
26,65,Endnote
26,70,Endnote
26,75,Endnote
26,79,Endnote
26,83,Endnote
26,84,Endnote
26,85,Endnote
26,86,Endnote
26,153,Endnote
26,154,Endnote
26,155,Endnote
26,156,Endnote
26,187,Endnote
27,12,Beginning note
27,14,Beginning note
27,26,Beginning note
27,9,Endnote
27,141,Endnote
28,21,Beginning note
28,10,Beginning note
28,12,Beginning note
28,13,Beginning note
28,29,Endnote
28,30,Endnote
28,31,Endnote
28,32,Endnote
28,24,Endnote
28,59,Endnote
28,71,Endnote
29,28,Beginning note
29,8,Beginning note
29,13,Beginning note
29,12,Beginning note
29,28,Beginning note
29,37,Endnote
29,37,Endnote
29,38,Endnote
29,39,Endnote
29,31,Endnote
29,61,Endnote
29,123,Endnote
30,14,Beginning note
30,31,Beginning note
30,52,Beginning note
30,100,Beginning note
30,12,Beginning note
30,13,Beginning note
30,14,Beginning note
30,15,Beginning note
30,28,Beginning note
30,29,Beginning note
30,31,Endnote
30,33,Endnote
30,120,Endnote
30,36,Endnote
30,61,Endnote
30,41,Endnote
30,43,Endnote
30,44,Endnote
30,47,Endnote
30,65,Endnote
30,84,Endnote
30,85,Endnote
30,87,Endnote
30,88,Endnote
30,90,Endnote
30,93,Endnote
31,8,Beginning note
31,12,Beginning note
31,30,Beginning note
31,123,Endnote
31,30,Endnote
31,33,Endnote
31,32,Endnote
31,58,Endnote
31,63,Endnote
31,100,Endnote
31,121,Endnote
32,10,Beginning note
32,31,Beginning note
32,19,Beginning note
32,100,Endnote
32,52,Endnote
32,23,Endnote
32,87,Endnote
32,54,Endnote
32,97,Endnote
32,244,Endnote
32,46,Endnote
32,48,Endnote
33,10,Beginning note
33,12,Beginning note
33,31,Beginning note
33,30,Endnote
33,44,Endnote
33,58,Endnote
33,63,Endnote
33,88,Endnote
33,90,Endnote
33,91,Endnote
34,16,Beginning note
34,11,Beginning note
34,9,Endnote
34,39,Endnote
34,40,Endnote
34,41,Endnote
34,30,Endnote
34,119,Endnote
34,92,Endnote
34,20,Endnote
35,14,Beginning note
35,37,Beginning note
35,41,Beginning note
35,27,Beginning note
35,40,Endnote
35,68,Endnote
35,75,Endnote
35,76,Endnote
35,77,Endnote
35,78,Endnote
36,14,Beginning note
36,30,Beginning note
36,29,Beginning note
36,39,Endnote
36,38,Endnote
36,37,Endnote
36,38,Endnote
36,100,Endnote
36,55,Endnote
36,51,Endnote
36,121,Endnote
36,123,Endnote
37,14,Beginning note
37,29,Beginning note
37,35,Beginning note
37,36,Beginning note
37,38,Endnote
37,39,Endnote
37,67,Endnote
37,157,Endnote
37,98,Endnote
37,36,Endnote
37,103,Endnote
37,75,Endnote
37,76,Endnote
37,77,Endnote
37,78,Endnote
37,79,Endnote
38,37,Beginning note
38,29,Beginning note
38,36,Beginning note
38,109,Endnote
38,75,Endnote
38,76,Endnote
38,77,Endnote
38,78,Endnote
38,23,Endnote
38,52,Endnote
38,103,Endnote
38,37,Endnote
38,95,Endnote
39,29,Beginning note
39,21,Beginning note
39,79,Endnote
39,118,Endnote
39,158,Endnote
39,67,Endnote
39,68,Endnote
39,177,Endnote
40,14,Beginning note
40,26,Beginning note
40,35,Beginning note
40,155,Endnote
40,75,Endnote
40,18,Endnote
40,86,Endnote
40,156,Endnote
40,177,Endnote
41,9,Beginning note
41,13,Beginning note
41,15,Beginning note
41,30,Beginning note
41,61,Endnote
41,72,Endnote
41,60,Endnote
41,115,Endnote
41,80,Endnote
41,88,Endnote
41,93,Endnote
41,147,Endnote
42,9,Beginning note
42,41,Beginning note
42,13,Beginning note
42,17,Endnote
42,41,Endnote
42,106,Endnote
42,122,Endnote
43,18,Beginning note
43,31,Endnote
43,95,Endnote
43,100,Endnote
43,59,Endnote
43,48,Endnote
43,83,Endnote
44,12,Beginning note
44,30,Endnote
44,61,Endnote
44,123,Endnote
44,81,Endnote
44,45,Endnote
45,44,Beginning note
45,43,Beginning note
45,47,Beginning note
45,87,Endnote
45,69,Endnote
45,122,Endnote
45,160,Endnote
45,165,Endnote
46,19,Beginning note
46,32,Beginning note
46,101,Endnote
46,87,Endnote
46,212,Endnote
46,244,Endnote
46,100,Endnote
47,26,Beginning note
47,81,Endnote
47,65,Endnote
47,48,Endnote
47,72,Endnote
47,73,Endnote
47,157,Endnote
47,177,Endnote
47,71,Endnote
48,14,Beginning note
48,37,Beginning note
48,13,Beginning note
48,15,Beginning note
48,41,Beginning note
48,79,Endnote
48,37,Endnote
48,38,Endnote
49,11,Beginning note
49,14,Beginning note
49,23,Beginning note
49,37,Beginning note
49,41,Beginning note
49,50,Endnote
49,51,Endnote
49,103,Endnote
49,113,Endnote
49,52,Endnote
50,23,Beginning note
50,49,Beginning note
50,54,Endnote
51,49,Beginning note
51,50,Beginning note
51,67,Beginning note
51,67,Endnote
51,52,Endnote
51,103,Endnote
51,170,Endnote
51,245,Endnote
51,247,Endnote
52,23,Beginning note
52,49,Beginning note
52,51,Beginning note
52,30,Beginning note
52,31,Beginning note
52,120,Beginning note
52,55,Endnote
52,51,Endnote
52,120,Endnote
52,121,Endnote
52,54,Endnote
53,14,Beginning note
53,37,Beginning note
53,41,Beginning note
53,95,Beginning note
53,98,Beginning note
53,110,Endnote
53,112,Endnote
53,98,Endnote
54,23,Beginning note
54,52,Beginning note
54,61,Endnote
54,92,Endnote
54,93,Endnote
54,103,Endnote
54,55,Endnote
54,174,Endnote
54,244,Endnote
55,52,Beginning note
55,54,Beginning note
55,23,Beginning note
55,243,Endnote
55,119,Endnote
55,125,Endnote
56,11,Beginning note
56,49,Beginning note
56,52,Beginning note
56,110,Endnote
56,119,Endnote
56,59,Endnote
56,173,Endnote
57,23,Beginning note
57,31,Beginning note
57,49,Beginning note
57,51,Beginning note
57,52,Beginning note
57,56,Beginning note
57,18,Beginning note
57,164,Endnote
57,68,Endnote
57,73,Endnote
57,85,Endnote
57,86,Endnote
57,40,Endnote
57,41,Endnote
57,43,Endnote
57,70,Endnote
57,72,Endnote
57,74,Endnote
