Node,Label,Weight,Type
1,Independent Regions,2,Towns
2,The Distribution of Towns,0,Towns
3,City Country Fingers,2,Towns
4,Agricultural Valleys,1,Towns
5,Lace of Country Streets,0,Towns
6,Country Towns,1,Towns
7,The Countryside,1,Towns
8,Mosaic of Subcultures,2,Towns
9,Scattered Work,2,Towns
10,Magic of the City,0,Towns
11,Local Transport Areas,2,Towns
12,"Community of 7,000",1,Towns
13,Subculture Boundary,1,Towns
14,Identifiable Neighborhood,2,Towns
15,Neighborhood Boundary,1,Towns
16,Web of Public Transportation,1,Towns
17,Ring Roads,0,Towns
18,Network of Learning,1,Towns
19,Web of Shopping,1,Towns
20,Mini-buses,1,Towns
21,Four-story Limit,2,Towns
22,Nine per Cent Parking,2,Towns
23,Parallel Roads,0,Towns
24,Sacred Sites,1,Towns
25,Access to Water,1,Towns
26,Life Cycle,1,Towns
27,Men and Women,0,Towns
28,Eccentric Nucleus,1,Towns
29,Density Rings,1,Towns
30,Activity Nodes,2,Towns
31,Promenade,2,Towns
32,Shopping Street,1,Towns
33,Night Life,1,Towns
34,Interchange,0,Towns
35,Household Mix,1,Towns
36,Degrees of Publicness,2,Towns
37,House Cluster,2,Towns
38,Row Houses,1,Towns
39,Housing Hill,0,Towns
40,Old People Everywhere,2,Towns
41,Work Community,2,Towns
42,Industrial Ribbon,1,Towns
43,University as a Marketplace,0,Towns
44,Local Town Hall,1,Towns
45,Necklace of Community Projects,0,Towns
46,Market of Many Shops,2,Towns
47,Health Center,1,Towns
48,Housing in Between,2,Towns
49,Looped Local Roads,2,Towns
50,T Junctions,1,Towns
51,Green Streets,1,Towns
52,Network of Paths and Cars,2,Towns
53,Main Gateways,2,Towns
54,Road Crossing,0,Towns
55,Raised Walk,1,Towns
56,Bike Paths and Racks,1,Towns
57,Children in the City,0,Towns
58,Carnival,0,Towns
59,Quiet Backs,1,Towns
60,Accessible Green,2,Towns
61,Small Public Squares,2,Towns
62,High Places,1,Towns
63,Dancing in the Street,1,Towns
64,Pools and Streams,1,Towns
65,Birth Places,1,Towns
66,Holy Ground,2,Towns
67,Common Land,2,Towns
68,Connected Play,1,Towns
69,Public Outdoor Room,2,Towns
70,Grave Sites,1,Towns
71,Still Water,1,Towns
72,Local Sports,1,Towns
73,Adventure Playground,0,Towns
74,Animals,0,Towns
75,The Family,1,Towns
76,House for a Small Family,1,Towns
77,House for a Couple,1,Towns
78,House for One Person,1,Towns
79,Your Own Home,2,Towns
80,Self-Governing Workshops and Offices,2,Towns
81,Small Services Without Red Tape,1,Towns
82,Office Connections,1,Towns
83,Master and Apprentices,1,Towns
84,Teenage Society,0,Towns
85,Shopfront Schools,0,Towns
86,Children's Home,1,Towns
87,Individually Owned Shops,2,Towns
88,Street Cafe,2,Towns
89,Corner Grocery,1,Towns
90,Beer Hall,0,Towns
91,Traveler's Inn,1,Towns
92,Bus Stop,1,Towns
93,Food Stands,1,Towns
94,Sleeping in Public,0,Towns
95,Building Complex,2,Buildings
96,Number of Stories,1,Buildings
97,Shielded Parking,1,Buildings
98,Circulation Realms,2,Buildings
99,Main Building,1,Buildings
100,Pedestrian Street,2,Buildings
101,Building Thoroughfare,0,Buildings
102,Family Of Entrances,1,Buildings
103,Small Parking Lots,1,Buildings
104,Site Repair,2,Buildings
105,South Facing Outdoors,2,Buildings
106,Positive Outdoor Space,2,Buildings
107,Wings of Light,1,Buildings
108,Connected Buildings,1,Buildings
109,Long Thin House,1,Buildings
110,Main Entrance,2,Buildings
111,Half-Hidden Garden,1,Buildings
112,Entrance Transition,2,Buildings
113,Car Connection,0,Buildings
114,Hierarchy of Open Space,1,Buildings
115,Courtyards Which Live,2,Buildings
116,Cascade of Roofs,1,Buildings
117,Sheltering Roof,2,Buildings
118,Roof Garden,1,Buildings
119,Arcades,2,Buildings
120,Paths and Goals,1,Buildings
121,Path Shape,1,Buildings
122,Building Fronts,1,Buildings
123,Pedestrian Density,1,Buildings
124,Activity Pockets,2,Buildings
125,Stair Seats,1,Buildings
126,Something Roughly in the Middle,0,Buildings
127,Intimacy Gradient,2,Buildings
128,Indoor Sunlight,1,Buildings
129,Common Areas at the Heart,2,Buildings
130,Entrance Room,2,Buildings
131,The Flow Through Rooms,0,Buildings
132,Short Passages,1,Buildings
133,Staircase as a Stage,0,Buildings
134,Zen View,1,Buildings
135,Tapestry of Light and Dark,1,Buildings
136,Couple's Realm,1,Buildings
137,Children's Realm,1,Buildings
138,Sleeping to the East,1,Buildings
139,Farmhouse Kitchen,2,Buildings
140,Private Terrace on the Street,2,Buildings
141,A Room of One's Own,2,Buildings
142,Sequence of Sitting Spaces,1,Buildings
143,Bed Cluster,1,Buildings
144,Bathing Room,1,Buildings
145,Bulk Storage,0,Buildings
146,Flexible Office Space,0,Buildings
147,Communal Eating,1,Buildings
148,Small Work Groups,2,Buildings
149,Reception Welcomes You,0,Buildings
150,A Place to Wait,1,Buildings
151,Small Meeting Rooms,1,Buildings
152,Half-Private Office,0,Buildings
153,Rooms to Rent,0,Buildings
154,Teenager's Cottage,,Buildings
155,Old Age Cottage,,Buildings
156,Settled Work,,Buildings
157,Home Workshop,,Buildings
158,Open Stairs,,Buildings
159,Light on Two Sides of Every Room,,Buildings
160,Building Edge,,Buildings
161,Sunny Place,,Buildings
162,North Face,,Buildings
163,Outdoor Room,,Buildings
164,Street Windows,,Buildings
165,Opening to the Street,,Buildings
166,Gallery Surround,,Buildings
167,Six-Foot Balcony,,Buildings
168,Connection to the Earth,,Buildings
169,Terraced Slope,,Buildings
170,Fruit Trees,,Buildings
171,Tree Places,,Buildings
172,Garden Growing Wild,,Buildings
173,Garden Wall,,Buildings
174,Trellised Walk,,Buildings
175,Greenhouse,,Buildings
176,Garden Seat,,Buildings
177,Vegetable Garden,,Buildings
178,Compost,,Buildings
179,Alcoves,,Buildings
180,Window Place,,Buildings
181,The Fire,,Buildings
182,Eating Atmosphere,,Buildings
183,Workspace Enclosure,,Buildings
184,Cooking Layout,,Buildings
185,Sitting Circle,,Buildings
186,Communal Sleeping,,Buildings
187,Marriage Bed,,Buildings
188,Bed Alcove,,Buildings
189,Dressing Room,,Buildings
190,Ceiling Height Variety,,Buildings
191,The Shape of Indoor Space,,Buildings
192,Windows Overlooking Life,,Buildings
193,Half-Open Wall,,Buildings
194,Interior Windows,,Buildings
195,Staircase Volume,,Buildings
196,Corner Doors,,Buildings
197,Thick Walls,,Buildings
198,Closets Between Rooms,,Buildings
199,Sunny Counter,,Buildings
200,Open Shelves,,Buildings
201,Waist-High Shelf,,Buildings
202,Built-in Seats,,Buildings
203,Child Caves,,Buildings
204,Secret Place,,Buildings
205,Structure Follows Social Spaces,,Construction
206,Efficient Structure,,Construction
207,Good Materials,,Construction
208,Gradual Stiffening,,Construction
209,Roof Layout,,Construction
210,Floor and Ceiling Layout,,Construction
211,Thickening the Outer Walls,,Construction
212,Columns at the Corners,,Construction
213,Final Column Distribution,,Construction
214,Root Foundations,,Construction
215,Ground Floor Slab,,Construction
216,Box Columns,,Construction
217,Perimeter Beams,,Construction
218,Wall Membranes,,Construction
219,Floor-Ceiling Vaults,,Construction
220,Roof Vaults,,Construction
221,Natural Doors and Windows,,Construction
222,Low Sill,,Construction
223,Deep Reveals,,Construction
224,Low Doorway,,Construction
225,Frames as Thickened Edges,,Construction
226,Column Place,,Construction
227,Column Connection,,Construction
228,Stair Vault,,Construction
229,Duct Space,,Construction
230,Radiant Heat,,Construction
231,Dormer Windows,,Construction
232,Roof Caps,,Construction
233,Floor Surface,,Construction
234,Lapped Outside Walls,,Construction
235,Soft Inside Walls,,Construction
236,Windows Which Open Wide,,Construction
237,Solid Doors With Glass,,Construction
238,Filtered Light,,Construction
239,Small Panes,,Construction
240,Half-Inch Trim,,Construction
241,Seat Spots,,Construction
242,Front Door Bench,,Construction
243,Sitting Wall,,Construction
244,Canvas Roofs,,Construction
245,Raised Flowers,,Construction
246,Climbing Plants,,Construction
247,Paving with Cracks Between the Stones,,Construction
248,Soft Tile and Brick,,Construction
249,Ornament,,Construction
250,Warm Colors,,Construction
251,Different Chairs,,Construction
252,Pools of Light,,Construction
